2019-04-15 12:50:00  index = 1, 20190415, 124900, 290.55, 290.65, 290.55, 290.60, 145.00
2019-04-15 12:51:00  index = 2, 20190415, 125000, 290.65, 290.70, 290.60, 290.60, 163.00
2019-04-15 12:52:00  index = 3, 20190415, 125100, 290.65, 290.70, 290.60, 290.65, 134.00
2019-04-15 12:53:00  index = 4, 20190415, 125200, 290.65, 290.70, 290.65, 290.70, 307.00
2019-04-15 12:54:00  index = 5, 20190415, 125300, 290.70, 290.75, 290.65, 290.70, 184.00
2019-04-15 12:55:00  index = 6, 20190415, 125400, 290.70, 290.70, 290.60, 290.65, 286.00
2019-04-15 12:56:00  index = 7, 20190415, 125500, 290.70, 290.70, 290.65, 290.65, 28.00
2019-04-15 12:57:00  index = 8, 20190415, 125600, 290.65, 290.70, 290.65, 290.70, 105.00
2019-04-15 12:58:00  index = 9, 20190415, 125700, 290.75, 290.75, 290.70, 290.70, 51.00
2019-04-15 12:59:00  index = 10, 20190415, 125800, 290.75, 290.75, 290.65, 290.65, 254.00
2019-04-15 13:00:00  index = 11, 20190415, 125900, 290.65, 290.75, 290.65, 290.70, 79.00
2019-04-15 13:01:00  index = 12, 20190415, 130000, 290.70, 290.75, 290.70, 290.70, 142.00
2019-04-15 13:02:00  index = 13, 20190415, 130100, 290.70, 290.75, 290.70, 290.70, 32.00
2019-04-15 13:03:00  index = 14, 20190415, 130200, 290.70, 290.75, 290.65, 290.70, 157.00
2019-04-15 13:04:00  index = 15, 20190415, 130300, 290.75, 290.80, 290.70, 290.75, 324.00
2019-04-15 13:05:00  index = 16, 20190415, 130400, 290.80, 290.80, 290.70, 290.75, 239.00
2019-04-15 13:06:00  index = 17, 20190415, 130500, 290.75, 290.80, 290.65, 290.65, 155.00
2019-04-15 13:07:00  index = 18, 20190415, 130600, 290.70, 290.80, 290.70, 290.75, 218.00
2019-04-15 13:08:00  index = 19, 20190415, 130700, 290.75, 290.75, 290.65, 290.70, 123.00
2019-04-15 13:09:00  index = 20, 20190415, 130800, 290.65, 290.75, 290.65, 290.75, 70.00
2019-04-15 13:10:00  index = 21, 20190415, 130900, 290.75, 290.80, 290.70, 290.80, 98.00
2019-04-15 13:11:00  index = 22, 20190415, 131000, 290.75, 290.80, 290.75, 290.80, 148.00
2019-04-15 13:12:00  index = 23, 20190415, 131100, 290.75, 290.80, 290.75, 290.75, 14.00
2019-04-15 13:13:00  index = 24, 20190415, 131200, 290.80, 290.80, 290.75, 290.75, 34.00
2019-04-15 13:14:00  index = 25, 20190415, 131300, 290.75, 290.80, 290.75, 290.80, 48.00
